iter,LR0.9_E0.0_Time,LR0.9_E0.0_Rewards,LR0.9_E0.0_Steps,LR0.9_E0.0_Convergence,LR0.9_E0.5_Time,LR0.9_E0.5_Rewards,LR0.9_E0.5_Steps,LR0.9_E0.5_Convergence,LR0.9_E0.7_Time,LR0.9_E0.7_Rewards,LR0.9_E0.7_Steps,LR0.9_E0.7_Convergence,LR0.9_E0.9_Time,LR0.9_E0.9_Rewards,LR0.9_E0.9_Steps,LR0.9_E0.9_Convergence
129,0.028138539,-177.12,194.28,8.9801924103,0.023372295,6.26,95.74,8.4489694357,0.023148075,-186.72,197.82,8.8046457769,0.021817561,18.9,81.08,8.8431567103
130,0.028375799,52.8,49.2,9.2512205014,0.023500146,-10.64,108.6,8.6093930407,0.023337863,1.6,100.4,9.0152697213,0.021996397,-163.04,188.28,8.6158977106
131,0.028495066,35.66,66.34,8.8665285901,0.023643747,-77.02,148.72,9.1364032177,0.023485801,-19.44,115.38,9.1014292831,0.022139946,25.12,76.88,8.6273586846
132,0.028601154,52.72,49.28,8.3807023716,0.023799788,-45.3,135.18,8.8156893933,0.023653867,-66.46,150.28,8.9750526978,0.022291178,-121.76,173.26,8.4051237267
133,0.028706558,25.76,76.24,8.0108953433,0.023939642,31.94,70.06,7.9308128516,0.023828838,-74.96,144.64,8.5430843786,0.022427335,-28.04,123.98,8.7509835973
134,0.028822957,18.2,83.8,8.084622017,0.024058119,1.88,98.1,7.6191350769,0.02392518,-24.98,116.88,8.7691570869,0.02258498,-106.84,168.44,8.5594544647
135,0.028946905,15.1,84.88,8.0136602092,0.024201359,52.4,49.6,7.6297623452,0.024050899,-155.88,185.16,8.8581931641,0.02280095,-1.22,101.2,8.0572433789
136,0.029041525,34,68,7.8221993952,0.024304766,18.86,83.14,7.3106420778,0.024175289,-15.54,117.54,8.8063514518,0.022898716,-113.76,161.22,8.0460779264
137,0.029153511,52.24,49.76,7.5619220843,0.024463128,-27.84,121.76,7.2188877271,0.024291385,38.8,63.2,8.9128292415,0.023005235,-10.18,108.14,8.1775975237
138,0.029306115,-21.84,119.8,7.9327953422,0.024595452,-102.76,156.28,7.3798303468,0.024422431,13.02,88.98,8.7706454525,0.023109131,22.64,79.36,8.4040668844
