iter,E0.1_Steps,E0.1_Time,E0.1_Rewards,E0.1_Convergence,E0.3_Steps,E0.3_Time,E0.3_Rewards,E0.3_Convergence,E0.5_Steps,E0.5_Time,E0.5_Rewards,E0.5_Convergence
225,17,0.000836,83,1.79329617822077E-08,14,0.000678,86,1.45258383099645E-08,15,0.00074,85,1.30732473735407E-08
226,15,0.000728,85,1.61396656039869E-08,14,0.000681,86,1.30732615843954E-08,15,0.000735,85,1.17659197940156E-08
227,14,0.000681,86,1.45256962014173E-08,14,0.000681,86,1.17659340048704E-08,23,0.001097,-22,1.05893320778705E-08
228,14,0.000679,86,1.30731194758482E-08,16,0.000766,84,1.05893462887252E-08,29,0.001374,-28,9.5303960279125E-09
229,16,0.000767,84,1.17658061071779E-08,41,0.00188,-40,9.53041023876722E-09,16,0.000781,84,8.5773592672922E-09
230,14,0.00069,86,1.05892326018875E-08,16,0.000768,84,8.57737347814691E-09,30,0.00142,-29,7.71962049839203E-09
231,14,0.000677,86,9.53031076278421E-09,17,0.000817,-16,7.71963470924675E-09,39,0.001825,-38,6.94765844855283E-09
232,14,0.000675,86,8.5772740021639E-09,16,0.000774,84,6.94767265940754E-09,14,0.000689,86,6.2528897615266E-09
233,14,0.000678,86,7.71954944411846E-09,14,0.000679,86,6.25290397238132E-09,53,0.00246,-52,5.627597943203E-09
234,14,0.000698,86,6.94758739427925E-09,14,0.000677,86,5.62761215405772E-09,21,0.001003,-20,5.06483388562629E-09
235,14,0.000679,86,6.25283291810774E-09,14,0.000682,86,5.064848096481E-09,17,0.000827,83,4.55834481272177E-09
